c	city
1	Mt. Washington N.H
1	Mt. i.e., Mount Washington N.H
1	Muscatine Iowa
1	N. London
1	N. London New London
1	N.p
1	Nashville, N.H
1	Nashville, T
1	Natchez
1	Natchez Miss
1	Nauvoo Ill
1	New Albany
1	New Bedord
1	New Bern, N. C
1	New Bern, N.C
1	New Castle Del
1	New Haven (Conn
1	New Jersey
1	New London Conn
1	New York (State
1	New York New York
1	New York State
1	New-Brunswick, (New-Jersey
1	New-Hampshire Exeter
1	New-Lebanon
1	New-London (Connecticut
1	New-London, (Conn
1	Newark, New-Jersey
1	Newbedford, Massachusetts
1	Newbern, N.C
1	Newburgh
1	Newbury (Vermont
1	Newbury Mass
1	Newbury, (Ver
1	Newbury, (Vermont
1	Newburyport Ky
1	Newburyport, Massachusetts
1	Newcastle on Tyne
1	Newfield
1	Newly printed at Paris
1	Newport
1	Newport (Rhode-Island
